Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Category
142.0,All,30,14.0,546,2,1,1,211,Loyal Customers
142.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
143.0,All,213,8.0,712,4,1,1,411,Lost Customers
143.0,Country 1,213,8.0,712,4,1,1,411,Lost Customers
144.0,All,60,13.0,1157,3,1,1,311,Almost Lost
144.0,Country 1,60,13.0,1157,3,1,1,311,Almost Lost
145.0,All,60,13.0,1287,3,1,1,311,Almost Lost
145.0,Country 1,60,13.0,1287,3,1,1,311,Almost Lost
146.0,All,182,9.0,351,4,1,2,412,Loyal Customers
146.0,Country 1,182,9.0,351,4,1,2,412,Loyal Customers
147.0,All,59,13.0,507,3,1,1,311,Almost Lost
147.0,Country 1,59,13.0,507,3,1,1,311,Almost Lost
148.0,All,182,9.0,801,4,1,1,411,Lost Customers
148.0,Country 1,182,9.0,801,4,1,1,411,Lost Customers
149.0,All,28,14.0,546,2,1,1,211,Loyal Customers
149.0,Country 1,28,14.0,546,2,1,1,211,Loyal Customers
150.0,All,180,9.0,801,4,1,1,411,Lost Customers
150.0,Country 1,180,9.0,801,4,1,1,411,Lost Customers
151.0,All,28,14.0,1386,2,1,1,211,Loyal Customers
151.0,Country 1,28,14.0,1386,2,1,1,211,Loyal Customers
152.0,All,27,14.0,546,2,1,1,211,Loyal Customers
152.0,Country 1,27,14.0,546,2,1,1,211,Loyal Customers
153.0,All,209,8.0,312,4,1,2,412,Loyal Customers
153.0,Country 1,209,8.0,312,4,1,2,412,Loyal Customers
154.0,All,179,9.0,351,4,1,2,412,Loyal Customers
154.0,Country 1,179,9.0,351,4,1,2,412,Loyal Customers
155.0,All,148,10.0,390,4,1,2,412,Loyal Customers
155.0,Country 1,148,10.0,390,4,1,2,412,Loyal Customers
156.0,All,56,13.0,1157,3,1,1,311,Almost Lost
156.0,Country 1,56,13.0,1157,3,1,1,311,Almost Lost
157.0,All,56,13.0,507,3,1,1,311,Almost Lost
157.0,Country 1,56,13.0,507,3,1,1,311,Almost Lost
158.0,All,56,13.0,1287,3,1,1,311,Almost Lost
158.0,Country 1,56,13.0,1287,3,1,1,311,Almost Lost
159.0,All,55,13.0,507,3,1,1,311,Almost Lost
159.0,Country 1,55,13.0,507,3,1,1,311,Almost Lost
160.0,All,208,8.0,312,4,1,2,412,Loyal Customers
160.0,Country 1,208,8.0,312,4,1,2,412,Loyal Customers
161.0,All,178,9.0,351,4,1,2,412,Loyal Customers
161.0,Country 1,178,9.0,351,4,1,2,412,Loyal Customers
162.0,All,178,9.0,351,4,1,2,412,Loyal Customers
162.0,Country 1,178,9.0,351,4,1,2,412,Loyal Customers
163.0,All,55,13.0,507,3,1,1,311,Almost Lost
163.0,Country 1,55,13.0,507,3,1,1,311,Almost Lost
164.0,All,177,9.0,351,4,1,2,412,Loyal Customers
164.0,Country 1,177,9.0,351,4,1,2,412,Loyal Customers
165.0,All,54,13.0,1157,3,1,1,311,Almost Lost
165.0,Country 1,54,13.0,1157,3,1,1,311,Almost Lost
166.0,All,54,13.0,1157,3,1,1,311,Almost Lost
166.0,Country 1,54,13.0,1157,3,1,1,311,Almost Lost
167.0,All,54,13.0,1287,3,1,1,311,Almost Lost
167.0,Country 1,54,13.0,1287,3,1,1,311,Almost Lost
168.0,All,177,9.0,351,4,1,2,412,Loyal Customers
168.0,Country 1,177,9.0,351,4,1,2,412,Loyal Customers
169.0,All,53,13.0,507,3,1,1,311,Almost Lost
169.0,Country 1,53,13.0,507,3,1,1,311,Almost Lost
170.0,All,53,13.0,1287,3,1,1,311,Almost Lost
170.0,Country 1,53,13.0,1287,3,1,1,311,Almost Lost
171.0,All,52,13.0,507,3,1,1,311,Almost Lost
171.0,Country 1,52,13.0,507,3,1,1,311,Almost Lost
172.0,All,52,13.0,507,3,1,1,311,Almost Lost
172.0,Country 1,52,13.0,507,3,1,1,311,Almost Lost
173.0,All,50,13.0,1157,3,1,1,311,Almost Lost
173.0,Country 1,50,13.0,1157,3,1,1,311,Almost Lost
174.0,All,20,14.0,546,2,1,1,211,Loyal Customers
174.0,Country 1,20,14.0,546,2,1,1,211,Loyal Customers
175.0,All,172,9.0,801,4,1,1,411,Lost Customers
175.0,Country 1,172,9.0,801,4,1,1,411,Lost Customers
176.0,All,49,13.0,1157,3,1,1,311,Almost Lost
176.0,Country 1,49,13.0,1157,3,1,1,311,Almost Lost
177.0,All,47,13.0,507,3,1,1,311,Almost Lost
177.0,Country 1,47,13.0,507,3,1,1,311,Almost Lost
178.0,All,18,14.0,546,2,1,1,211,Loyal Customers
178.0,Country 1,18,14.0,546,2,1,1,211,Loyal Customers
179.0,All,46,13.0,507,3,1,1,311,Almost Lost
179.0,Country 1,46,13.0,507,3,1,1,311,Almost Lost
180.0,All,199,8.0,312,4,1,2,412,Loyal Customers
180.0,Country 1,199,8.0,312,4,1,2,412,Loyal Customers
181.0,All,169,9.0,801,4,1,1,411,Lost Customers
181.0,Country 1,169,9.0,801,4,1,1,411,Lost Customers
182.0,All,46,13.0,1157,3,1,1,311,Almost Lost
182.0,Country 1,46,13.0,1157,3,1,1,311,Almost Lost
183.0,All,169,9.0,801,4,1,1,411,Lost Customers
183.0,Country 1,169,9.0,801,4,1,1,411,Lost Customers
184.0,All,45,13.0,1157,3,1,1,311,Almost Lost
184.0,Country 1,45,13.0,1157,3,1,1,311,Almost Lost
185.0,All,45,13.0,507,3,1,1,311,Almost Lost
185.0,Country 1,45,13.0,507,3,1,1,311,Almost Lost
186.0,All,16,14.0,1246,1,1,1,111,Best Customers
186.0,Country 1,16,14.0,1246,1,1,1,111,Best Customers
187.0,All,168,9.0,801,4,1,1,411,Lost Customers
187.0,Country 1,168,9.0,801,4,1,1,411,Lost Customers
188.0,All,44,13.0,1157,3,1,1,311,Almost Lost
188.0,Country 1,44,13.0,1157,3,1,1,311,Almost Lost
189.0,All,14,14.0,546,1,1,1,111,Best Customers
189.0,Country 1,14,14.0,546,1,1,1,111,Best Customers
190.0,All,165,9.0,351,4,1,2,412,Loyal Customers
190.0,Country 1,165,9.0,351,4,1,2,412,Loyal Customers
191.0,All,41,13.0,507,3,1,1,311,Almost Lost
191.0,Country 1,41,13.0,507,3,1,1,311,Almost Lost
192.0,All,103,11.0,429,3,1,1,311,Almost Lost
192.0,Country 1,103,11.0,429,3,1,1,311,Almost Lost
193.0,All,224,7.0,273,4,2,2,422,Other
193.0,Country 1,224,7.0,273,4,2,2,422,Other
194.0,All,39,13.0,1157,3,1,1,311,Almost Lost
194.0,Country 1,39,13.0,1157,3,1,1,311,Almost Lost
195.0,All,39,13.0,507,3,1,1,311,Almost Lost
195.0,Country 1,39,13.0,507,3,1,1,311,Almost Lost
196.0,All,39,13.0,1157,3,1,1,311,Almost Lost
196.0,Country 1,39,13.0,1157,3,1,1,311,Almost Lost
197.0,All,9,14.0,606,1,1,1,111,Best Customers
197.0,Country 1,9,14.0,606,1,1,1,111,Best Customers
198.0,All,38,13.0,507,3,1,1,311,Almost Lost
198.0,Country 1,38,13.0,507,3,1,1,311,Almost Lost
199.0,All,38,13.0,1157,3,1,1,311,Almost Lost
199.0,Country 1,38,13.0,1157,3,1,1,311,Almost Lost
200.0,All,38,13.0,1287,3,1,1,311,Almost Lost
200.0,Country 1,38,13.0,1287,3,1,1,311,Almost Lost
201.0,All,191,8.0,792,4,1,1,411,Lost Customers
201.0,Country 1,191,8.0,792,4,1,1,411,Lost Customers
202.0,All,37,13.0,507,3,1,1,311,Almost Lost
202.0,Country 1,37,13.0,507,3,1,1,311,Almost Lost
203.0,All,190,8.0,712,4,1,1,411,Lost Customers
203.0,Country 1,190,8.0,712,4,1,1,411,Lost Customers
204.0,All,37,13.0,1157,3,1,1,311,Almost Lost
204.0,Country 1,37,13.0,1157,3,1,1,311,Almost Lost
205.0,All,8,14.0,1246,1,1,1,111,Best Customers
205.0,Country 1,8,14.0,1246,1,1,1,111,Best Customers
206.0,All,37,13.0,1157,3,1,1,311,Almost Lost
206.0,Country 1,37,13.0,1157,3,1,1,311,Almost Lost
207.0,All,189,8.0,312,4,1,2,412,Loyal Customers
207.0,Country 1,189,8.0,312,4,1,2,412,Loyal Customers
208.0,All,36,13.0,507,3,1,1,311,Almost Lost
208.0,Country 1,36,13.0,507,3,1,1,311,Almost Lost
209.0,All,128,10.0,890,4,1,1,411,Lost Customers
209.0,Country 1,128,10.0,890,4,1,1,411,Lost Customers
210.0,All,7,14.0,1376,1,1,1,111,Best Customers
210.0,Country 1,7,14.0,1376,1,1,1,111,Best Customers
211.0,All,7,14.0,1386,1,1,1,111,Best Customers
211.0,Country 1,7,14.0,1386,1,1,1,111,Best Customers
212.0,All,7,14.0,1386,1,1,1,111,Best Customers
212.0,Country 1,7,14.0,1386,1,1,1,111,Best Customers
213.0,All,35,13.0,1157,3,1,1,311,Almost Lost
213.0,Country 1,35,13.0,1157,3,1,1,311,Almost Lost
214.0,All,35,13.0,1287,3,1,1,311,Almost Lost
214.0,Country 1,35,13.0,1287,3,1,1,311,Almost Lost
215.0,All,6,14.0,1386,1,1,1,111,Best Customers
215.0,Country 1,6,14.0,1386,1,1,1,111,Best Customers
216.0,All,35,13.0,1157,3,1,1,311,Almost Lost
216.0,Country 1,35,13.0,1157,3,1,1,311,Almost Lost
217.0,All,35,13.0,1157,3,1,1,311,Almost Lost
217.0,Country 1,35,13.0,1157,3,1,1,311,Almost Lost
218.0,All,126,10.0,390,4,1,2,412,Loyal Customers
218.0,Country 1,126,10.0,390,4,1,2,412,Loyal Customers
219.0,All,5,14.0,1326,1,1,1,111,Best Customers
219.0,Country 1,5,14.0,1326,1,1,1,111,Best Customers
220.0,All,5,14.0,546,1,1,1,111,Best Customers
220.0,Country 1,5,14.0,546,1,1,1,111,Best Customers
221.0,All,5,14.0,546,1,1,1,111,Best Customers
221.0,Country 1,5,14.0,546,1,1,1,111,Best Customers
222.0,All,34,13.0,1157,3,1,1,311,Almost Lost
222.0,Country 1,34,13.0,1157,3,1,1,311,Almost Lost
223.0,All,91,11.0,979,3,1,1,311,Almost Lost
223.0,Country 1,91,11.0,979,3,1,1,311,Almost Lost
224.0,All,60,12.0,1068,3,1,1,311,Almost Lost
224.0,Country 1,60,12.0,1068,3,1,1,311,Almost Lost
225.0,All,60,12.0,1188,3,1,1,311,Almost Lost
225.0,Country 1,60,12.0,1188,3,1,1,311,Almost Lost
