Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
175.0,All,172,9.0,801,4,1,1,411
175.0,Country 1,172,9.0,801,4,1,1,411
176.0,All,49,13.0,1157,3,1,1,311
176.0,Country 1,49,13.0,1157,3,1,1,311
177.0,All,47,13.0,507,3,1,1,311
177.0,Country 1,47,13.0,507,3,1,1,311
178.0,All,18,14.0,546,2,1,1,211
178.0,Country 1,18,14.0,546,2,1,1,211
179.0,All,46,13.0,507,3,1,1,311
179.0,Country 1,46,13.0,507,3,1,1,311
180.0,All,199,8.0,312,4,1,2,412
180.0,Country 1,199,8.0,312,4,1,2,412
181.0,All,169,9.0,801,4,1,1,411
181.0,Country 1,169,9.0,801,4,1,1,411
182.0,All,46,13.0,1157,3,1,1,311
182.0,Country 1,46,13.0,1157,3,1,1,311
183.0,All,169,9.0,801,4,1,1,411
183.0,Country 1,169,9.0,801,4,1,1,411
184.0,All,45,13.0,1157,3,1,1,311
184.0,Country 1,45,13.0,1157,3,1,1,311
185.0,All,45,13.0,507,3,1,1,311
185.0,Country 1,45,13.0,507,3,1,1,311
186.0,All,16,14.0,1246,1,1,1,111
186.0,Country 1,16,14.0,1246,1,1,1,111
187.0,All,168,9.0,801,4,1,1,411
187.0,Country 1,168,9.0,801,4,1,1,411
188.0,All,44,13.0,1157,3,1,1,311
188.0,Country 1,44,13.0,1157,3,1,1,311
189.0,All,14,14.0,546,1,1,1,111
189.0,Country 1,14,14.0,546,1,1,1,111
190.0,All,165,9.0,351,4,1,2,412
190.0,Country 1,165,9.0,351,4,1,2,412
191.0,All,41,13.0,507,3,1,1,311
191.0,Country 1,41,13.0,507,3,1,1,311
192.0,All,103,11.0,429,3,1,1,311
192.0,Country 1,103,11.0,429,3,1,1,311
193.0,All,224,7.0,273,4,2,2,422
193.0,Country 1,224,7.0,273,4,2,2,422
194.0,All,39,13.0,1157,3,1,1,311
194.0,Country 1,39,13.0,1157,3,1,1,311
195.0,All,39,13.0,507,3,1,1,311
195.0,Country 1,39,13.0,507,3,1,1,311
196.0,All,39,13.0,1157,3,1,1,311
196.0,Country 1,39,13.0,1157,3,1,1,311
197.0,All,9,14.0,606,1,1,1,111
197.0,Country 1,9,14.0,606,1,1,1,111
198.0,All,38,13.0,507,3,1,1,311
198.0,Country 1,38,13.0,507,3,1,1,311
199.0,All,38,13.0,1157,3,1,1,311
199.0,Country 1,38,13.0,1157,3,1,1,311
200.0,All,38,13.0,1287,3,1,1,311
200.0,Country 1,38,13.0,1287,3,1,1,311
201.0,All,191,8.0,792,4,1,1,411
201.0,Country 1,191,8.0,792,4,1,1,411
202.0,All,37,13.0,507,3,1,1,311
202.0,Country 1,37,13.0,507,3,1,1,311
203.0,All,190,8.0,712,4,1,1,411
203.0,Country 1,190,8.0,712,4,1,1,411
204.0,All,37,13.0,1157,3,1,1,311
204.0,Country 1,37,13.0,1157,3,1,1,311
205.0,All,8,14.0,1246,1,1,1,111
205.0,Country 1,8,14.0,1246,1,1,1,111
206.0,All,37,13.0,1157,3,1,1,311
206.0,Country 1,37,13.0,1157,3,1,1,311
207.0,All,189,8.0,312,4,1,2,412
207.0,Country 1,189,8.0,312,4,1,2,412
208.0,All,36,13.0,507,3,1,1,311
208.0,Country 1,36,13.0,507,3,1,1,311
209.0,All,128,10.0,890,4,1,1,411
209.0,Country 1,128,10.0,890,4,1,1,411
210.0,All,7,14.0,1376,1,1,1,111
210.0,Country 1,7,14.0,1376,1,1,1,111
211.0,All,7,14.0,1386,1,1,1,111
211.0,Country 1,7,14.0,1386,1,1,1,111
212.0,All,7,14.0,1386,1,1,1,111
212.0,Country 1,7,14.0,1386,1,1,1,111
213.0,All,35,13.0,1157,3,1,1,311
213.0,Country 1,35,13.0,1157,3,1,1,311
214.0,All,35,13.0,1287,3,1,1,311
214.0,Country 1,35,13.0,1287,3,1,1,311
215.0,All,6,14.0,1386,1,1,1,111
215.0,Country 1,6,14.0,1386,1,1,1,111
216.0,All,35,13.0,1157,3,1,1,311
216.0,Country 1,35,13.0,1157,3,1,1,311
217.0,All,35,13.0,1157,3,1,1,311
217.0,Country 1,35,13.0,1157,3,1,1,311
218.0,All,126,10.0,390,4,1,2,412
218.0,Country 1,126,10.0,390,4,1,2,412
219.0,All,5,14.0,1326,1,1,1,111
219.0,Country 1,5,14.0,1326,1,1,1,111
220.0,All,5,14.0,546,1,1,1,111
220.0,Country 1,5,14.0,546,1,1,1,111
221.0,All,5,14.0,546,1,1,1,111
221.0,Country 1,5,14.0,546,1,1,1,111
222.0,All,34,13.0,1157,3,1,1,311
222.0,Country 1,34,13.0,1157,3,1,1,311
223.0,All,91,11.0,979,3,1,1,311
223.0,Country 1,91,11.0,979,3,1,1,311
224.0,All,60,12.0,1068,3,1,1,311
224.0,Country 1,60,12.0,1068,3,1,1,311
225.0,All,60,12.0,1188,3,1,1,311
225.0,Country 1,60,12.0,1188,3,1,1,311
226.0,All,183,8.0,792,4,1,1,411
226.0,Country 1,183,8.0,792,4,1,1,411
227.0,All,60,12.0,1188,3,1,1,311
227.0,Country 1,60,12.0,1188,3,1,1,311
228.0,All,31,13.0,1287,2,1,1,211
228.0,Country 1,31,13.0,1287,2,1,1,211
229.0,All,60,12.0,1068,3,1,1,311
229.0,Country 1,60,12.0,1068,3,1,1,311
230.0,All,60,12.0,1068,3,1,1,311
230.0,Country 1,60,12.0,1068,3,1,1,311
232.0,All,30,13.0,507,2,1,1,211
232.0,Country 1,30,13.0,507,2,1,1,211
233.0,All,151,9.0,801,4,1,1,411
233.0,Country 1,151,9.0,801,4,1,1,411
234.0,All,30,13.0,1287,2,1,1,211
234.0,Country 1,30,13.0,1287,2,1,1,211
235.0,All,58,12.0,468,3,1,1,311
235.0,Country 1,58,12.0,468,3,1,1,311
236.0,All,57,12.0,468,3,1,1,311
236.0,Country 1,57,12.0,468,3,1,1,311
237.0,All,56,12.0,468,3,1,1,311
237.0,Country 1,56,12.0,468,3,1,1,311
238.0,All,56,12.0,1068,3,1,1,311
238.0,Country 1,56,12.0,1068,3,1,1,311
239.0,All,148,9.0,801,4,1,1,411
239.0,Country 1,148,9.0,801,4,1,1,411
240.0,All,56,12.0,1188,3,1,1,311
240.0,Country 1,56,12.0,1188,3,1,1,311
241.0,All,26,1.0,39,2,4,4,244
241.0,Country 1,26,1.0,39,2,4,4,244
242.0,All,25,13.0,507,2,1,1,211
242.0,Country 1,25,13.0,507,2,1,1,211
243.0,All,25,13.0,1157,2,1,1,211
243.0,Country 1,25,13.0,1157,2,1,1,211
244.0,All,25,13.0,1287,2,1,1,211
244.0,Country 1,25,13.0,1287,2,1,1,211
245.0,All,53,12.0,468,3,1,1,311
245.0,Country 1,53,12.0,468,3,1,1,311
246.0,All,176,8.0,312,4,1,2,412
246.0,Country 1,176,8.0,312,4,1,2,412
247.0,All,176,8.0,312,4,1,2,412
247.0,Country 1,176,8.0,312,4,1,2,412
248.0,All,84,11.0,979,3,1,1,311
248.0,Country 1,84,11.0,979,3,1,1,311
249.0,All,53,12.0,1068,3,1,1,311
249.0,Country 1,53,12.0,1068,3,1,1,311
250.0,All,84,11.0,979,3,1,1,311
250.0,Country 1,84,11.0,979,3,1,1,311
251.0,All,53,12.0,1068,3,1,1,311
251.0,Country 1,53,12.0,1068,3,1,1,311
252.0,All,53,12.0,1068,3,1,1,311
252.0,Country 1,53,12.0,1068,3,1,1,311
253.0,All,237,6.0,594,4,2,1,421
253.0,Country 1,237,6.0,594,4,2,1,421
254.0,All,176,8.0,792,4,1,1,411
254.0,Country 1,176,8.0,792,4,1,1,411
255.0,All,115,10.0,990,4,1,1,411
255.0,Country 1,115,10.0,990,4,1,1,411
256.0,All,114,10.0,890,3,1,1,311
256.0,Country 1,114,10.0,890,3,1,1,311
257.0,All,52,12.0,1068,3,1,1,311
257.0,Country 1,52,12.0,1068,3,1,1,311
258.0,All,23,13.0,1157,2,1,1,211
258.0,Country 1,23,13.0,1157,2,1,1,211
259.0,All,52,12.0,468,3,1,1,311
259.0,Country 1,52,12.0,468,3,1,1,311
260.0,All,51,12.0,468,3,1,1,311
260.0,Country 1,51,12.0,468,3,1,1,311
261.0,All,143,9.0,801,4,1,1,411
261.0,Country 1,143,9.0,801,4,1,1,411
262.0,All,51,12.0,468,3,1,1,311
262.0,Country 1,51,12.0,468,3,1,1,311
263.0,All,174,8.0,792,4,1,1,411
263.0,Country 1,174,8.0,792,4,1,1,411
264.0,All,22,13.0,1287,2,1,1,211
264.0,Country 1,22,13.0,1287,2,1,1,211
265.0,All,203,7.0,273,4,2,2,422
265.0,Country 1,203,7.0,273,4,2,2,422
266.0,All,21,13.0,507,2,1,1,211
266.0,Country 1,21,13.0,507,2,1,1,211
267.0,All,81,11.0,979,3,1,1,311
267.0,Country 1,81,11.0,979,3,1,1,311
268.0,All,50,12.0,1068,3,1,1,311
268.0,Country 1,50,12.0,1068,3,1,1,311
269.0,All,21,13.0,1157,2,1,1,211
269.0,Country 1,21,13.0,1157,2,1,1,211
270.0,All,50,12.0,1068,3,1,1,311
270.0,Country 1,50,12.0,1068,3,1,1,311
271.0,All,142,9.0,351,4,1,2,412
271.0,Country 1,142,9.0,351,4,1,2,412
273.0,All,49,12.0,468,3,1,1,311
273.0,Country 1,49,12.0,468,3,1,1,311
274.0,All,49,12.0,1068,3,1,1,311
274.0,Country 1,49,12.0,1068,3,1,1,311
275.0,All,49,12.0,1068,3,1,1,311
275.0,Country 1,49,12.0,1068,3,1,1,311
276.0,All,172,8.0,712,4,1,1,411
276.0,Country 1,172,8.0,712,4,1,1,411
277.0,All,172,8.0,712,4,1,1,411
277.0,Country 1,172,8.0,712,4,1,1,411
278.0,All,48,12.0,1188,3,1,1,311
278.0,Country 1,48,12.0,1188,3,1,1,311
279.0,All,19,13.0,1287,2,1,1,211
279.0,Country 1,19,13.0,1287,2,1,1,211
281.0,All,200,7.0,273,4,2,2,422
281.0,Country 1,200,7.0,273,4,2,2,422
282.0,All,18,13.0,507,2,1,1,211
282.0,Country 1,18,13.0,507,2,1,1,211
